Impact,Work Style,Work Style Description,Distinctiveness Rank
98,Dependability,"A tendency to be reliable, responsible, and consistent in meeting work-related obligations.",n/a
86,Leadership Orientation,"A tendency to lead, take charge, offer opinions, and provide direction at work.",3.00
78,Attention to Detail,"A tendency to be detail-oriented, organized, and thorough in completing work.",n/a
77,Adaptability,"A tendency to be open to and comfortable with change, new experiences, or ideas at work.",4.00
75,Achievement Orientation,"A tendency to establish and maintain personally challenging work-related goals, set high work-related standards, and exert high effort toward meeting those goals and standards.",7.00
75,Cooperation,"A tendency to be pleasant, helpful, and willing to assist others at work.",8.00
74,Integrity,A tendency to be honest and ethical at work.,10.00
74,Perseverance,A tendency to exhibit determination and resolve to perform or complete tasks in the face of difficult circumstances or obstacles at work.,5.00
72,Self-Confidence,A tendency to believe in one's work-related capabilities and ability to control one's work-related outcomes.,2.00
69,Initiative,A tendency to be proactive and take on extra responsibilities and tasks that may fall outside of one's required work role.,1.00
69,Stress Tolerance,A tendency to cope and function effectively in stressful situations at work.,6.00
67,Intellectual Curiosity,A tendency to seek out and acquire new work-related knowledge and obtain a deep understanding of work-related subjects.,9.00
66,Cautiousness,"A tendency to be careful, deliberate, and risk-avoidant when making work-related decisions or doing work.",n/a
64,Social Orientation,"A tendency to seek out, enjoy, and be energized by social interaction at work.",n/a
60,Self-Control,A tendency to remain calm and composed and to manage emotions effectively in response to criticism or difficult situations at work.,n/a
58,Tolerance for Ambiguity,A tendency to be comfortable with ambiguity and uncertainty at work.,n/a
53,Innovation,"A tendency to be inventive, to be imaginative, and to adopt new perspectives on ways to accomplish work.",n/a
37,Optimism,"A tendency to exhibit a positive attitude and positive emotions at work, even under difficult circumstances.",n/a
33,Empathy,A tendency to show concern for others and be sensitive to others' needs and feelings at work.,n/a
32,Sincerity,"A tendency to be genuine and sincere in interactions with others at work, without concern for personal gain or self-interest.",n/a
20,Humility,A tendency to be modest and humble when interacting with others at work.,n/a
